accession,Ler(2)/Col(3),PLANT,latritude grads,lat mins,long grads,long mins,#Leaves LD-V,days LD-V,#Leaves LD+V,days LD+V,#Leaves ShD-V,days ShD-V,Leaves ShD+V,Days ShD+V,FLC / Tubulin,FRI / Tubulin,days 0W+V,days 2W+V,days 4W+V,days 8W+V,JICleavesLD+V,JICftLD+V,JICleavesLD-V,JICftLD-V
Ull-2-3,1,3H,56,9,13.46,46,12.5,29.6,16,27,29.7,65.8,40.5,59.5,0.045,1.6034,33.8,23.6,22.2,21.4,14.1,28.2,14.6,27.8
Ull-2-5,1,3G,56,7,13.46,46,200,200,47.3,55.7,200,125,159,161.3333333,1.346,0.8484,125,125,104,58.5,64,60.3,200,125
Uod-1,2,7A,48,7,14,53,16.2,31,17.3,25,60.2,75.7,35.83333333,50.33333333,0.116,0.7402,29,22.4,22.2,21.1,15.6,24.7,13.6,28.4
Uod-7,1,7B,48,0,14,53,44.2,54.4,17,25.2,79.3,110,32.66666667,55.33333333,1.849,1.7096,55.9,32.2,25.6,22.1,20,29.2,NA,NA
Van-0,1,8H,56,0,38,0,13,28.3,18.8,23.5,72.5,90.5,63.33333333,64.33333333,1.182,1.6562,35.2,24.2,27.7,20,13.9,29.3,10.5,27.6
Var-2-1,1,3A,55,33,14.2,20,200,200,39.2,41.5,200,125,102.6666667,126,1.092,0.3914,NA,125,85.2,37.1,26,39.8,200,125
Var-2-6,1,3B,55,33,14.2,20,200,200,NA,NA,200,125,177.6666667,182.6666667,1.91,2.6742,125,125,86.5,40.6,NA,NA,200,125
Wa-1,1,11A,52,30,21,0,8.3,23.7,13,21.8,53.4,81.2,20,52,0.11,1.1646,23.7,17.8,17.1,15.3,10.7,24.5,6.8,NA
Wei-0,2,8C,47,25,8,26,10,23.3,14.2,20.8,41.4,65.8,28,47.83333333,0.055,0.3291,30.9,14.2,17,17.8,13.7,21.2,8.9,21.9
Ws-0,1,8D,52,30,30,0,73.4,99,20.3,26.2,117,119,42.16666667,57,1.499,0.7839,69,32.2,28,18.2,20.7,25.6,79.5,61.7
Ws-2,3,12H,52,30,30,0,9.5,23.2,10.3,19.2,38.7,64.7,19,33.16666667,0.025,0.4196,NA,14,15.9,15.5,12.1,22.6,7.4,22.9
Wt-5,2,10B,52,30,9,30,12,28.7,16.7,27.8,60.5,80.2,31,43.83333333,0.047,0.211,32.9,25.4,27.5,25.2,12.6,28.7,NA,NA
Yo-0,1,8E,37,45,-119.35,35,48.4,59.8,22.8,32.2,200,125,77.33333333,88.5,0.702,1.0985,NA,NA,NA,42.2,28.9,41.7,58,54.5
Zdr-1,2,4A,49,12,16,37,13.8,27.8,17.7,21.2,64.3,86.3,29.33333333,44.16666667,0.044,0.4455,30.8,19.2,17.1,16.7,14.5,23.1,10,28.3
Zdr-6,1,4B,49,12,16.37,37,22.2,36.8,18.3,21.8,56.2,77,30.5,47.33333333,0.336,1.7672,40.6,25,20.5,16.5,15.4,25.2,18.7,36
Kent,1,1,51,3,0,41,19.2,31.8,22.3,27.3,76.5,82,60.66666667,64.66666667,0.267,0.413,39.2,25.6,23.6,19.4,17.7,29,17.1,28.4
Rsch-4,2,3,56,30,34,34,19.4,31.8,20,32.7,74.3,77.5,60.4,54,0.309,0.69,35.1,25,22.8,19.5,17.1,28.2,16.6,29.2
Algutsrum,1,4,56,40,16.22,22,200,200,26.3,46.8,200,125,200,200,2.941,2.489,125,21.2,NA,18.5,20.5,35.2,Not flower,
Lund,1,9,55,42,13.12,12,200,200,38.5,49.8,200,125,80,83.33333333,2.782,1.914,NA,NA,73,NA,ND,ND,Not flower,
"Ko""ln",3,10,50,55,6,53,12.8,28.5,19.8,25.3,71.5,91.7,50,55.8,0.062,2.269,31.6,22.4,22.6,21,17,30,12.1,28
NC-6,1,14,35,30,-79.18,18,70,84,16.3,35.3,200,125,68.6,70.4,4.181,2.313,125,75.6,125,29.1,19.9,31.9,ND,ND
Vimmerby,1,16,57,40,15,51,200,200,22.4,41.2,200,125,NA,NA,1.183,1.281,49.8,89.8,125,20.5,,,95.4,55
Pu-2-8,1,18,42,38,18.07,7,38.5,44.3,17.3,28.8,60.8,101.2,43,47,2.175,2.234,78.8,47.2,31.4,24.1,19.6,29.7,43.9,45.1
Dem-4,1,19,39,44,-105,0,45.5,41.5,24,46,NA,NA,NA,NA,0.627,1.875,125,73.6,51.4,37.4,43.4,49.4,68.5,123
Kz-13,1,22,49,50,73.1,10,16.7,35.2,10.8,22.4,47.5,76.5,17.75,38.75,0.748,0.969,31.7,20.8,19.1,18.8,11.9,,12.2,26.4
Bg-2,1,23,47,36,-122.2,20,19.2,33.7,18,26.5,90.3,96.7,41.8,61,0.548,1.069,37.4,24.8,NA,17.1,16.4,24.6,14,26.6
Sf-1,1,25,38,35,68.48,48,80.5,90.5,22.7,33.5,200,125,75,73,2.379,1.377,NA,NA,NA,NA,22.7,34.9,88.5,86.5
En-1,2,31,50,0,8,50,14.2,27.3,14.8,23.3,47.3,71.5,25.2,33.6,0.157,0.402,26.7,22.4,21.8,16.1,13.6,23,12,25.7
Gr-1,2,33,47,4,15,25,20.6,35.4,17.6,27.7,57.8,88,53,92,0.175,NA,NA,NA,NA,NA,15.1,25.9,14.5,28.4
