,,NA_rate,mismatch_rate,no_of_NAs,no_of_totals,no_of_mismatches,no_of_non_NA_pairs,relative_NA_rate,relative_no_of_NAs,relative_no_of_totals
8243,N6002,0.447983014862,-1,211,471,0,0,1.0,78,78
8244,N6034,0.0849256900212,0.0,40,471,0,77,0.0,0,78
8245,N6187,0.774946921444,-1,365,471,0,0,1.0,78,78
8246,NC-6,0.0276008492569,0.0,13,471,0,78,0.0,0,78
8247,San-2,0.422505307856,-1,199,471,0,0,1.0,78,78
8249,Vimmerby,0.0615711252654,0.0,29,471,0,77,0.0,0,78
8252,Alc-0,0.783439490446,-1,369,471,0,0,1.0,78,78
8254,Ang-0,0.00849256900212,0.0,4,471,0,77,0.0,0,78
8255,App-1-4,0.269639065817,-1,127,471,0,0,1.0,78,78
8256,Bå-1-2,0.178343949045,-1,84,471,0,0,1.0,78,78
8257,Bå-3-3,0.00849256900212,0.0,4,471,0,78,0.0,0,78
8258,Bå-4-1,0.0127388535032,0.0,6,471,0,72,0.0,0,78
8259,Bå-5-1,0.0764331210191,0.0,36,471,0,78,0.0,0,78
8264,Bla-1,0.766454352442,-1,361,471,0,0,1.0,78,78
8265,Blh-1,0.702760084926,0.0,331,471,0,1,0.987179487179,77,78
8266,Boo-2-1,0.0276008492569,0.0,13,471,0,78,0.0,0,78
8270,Bs-1,0.386411889597,0.0,182,471,0,78,0.0,0,78
8271,Bu-0,0.182590233546,-1,86,471,0,0,1.0,78,78
8274,Can-0,0.231422505308,0.0,109,471,0,1,0.987179487179,77,78
8275,Cen-0,0.0615711252654,0.0,29,471,0,78,0.0,0,78
8278,Co,0.171974522293,-1,81,471,0,0,1.0,78,78
8282,Di-0,0.0297239915074,0.0,14,471,0,73,0.0,0,78
8283,Dra-3-1,0.700636942675,-1,330,471,0,0,1.0,78,78
8284,DraII-1,0.00636942675159,0.0,3,471,0,78,0.0,0,78
8285,DraIII-1,0.0,0.0,0,471,0,72,0.0,0,78
8290,En-1,0.414012738854,0.0,195,471,0,35,0.538461538462,42,78
8296,Gd-1,0.762208067941,0.0,359,471,0,1,0.987179487179,77,78
8297,Ge-0,0.437367303609,-1,206,471,0,0,1.0,78,78
8300,Gr-1,0.0509554140127,0.0,24,471,0,78,0.0,0,78
8303,H55,0.590233545648,-1,278,471,0,0,0.987179487179,77,78
8304,Hi-0,0.821656050955,-1,387,471,0,0,1.0,78,78
8305,Hov-2-2,0.00424628450106,0.0,2,471,0,78,0.0,0,78
8306,Hov-4-1,0.205944798301,0.0,97,471,0,1,0.987179487179,77,78
8307,Hovdala-6,0.225053078556,0.0,106,471,0,4,0.948717948718,74,78
8310,Hs-0,0.770700636943,0.0,363,471,0,1,0.987179487179,77,78
8311,In-0,0.573248407643,-1,270,471,0,0,1.0,78,78
8312,Is-0,0.414012738854,0.0,195,471,0,1,0.987179487179,77,78
8313,Jm-0,0.0530785562633,0.0,25,471,0,77,0.0,0,78
8314,Ka-0,0.0849256900212,0.0,40,471,0,77,0.0,0,78
8323,Lc-0,0.734607218684,-1,346,471,0,0,1.0,78,78
8325,Lip-0,0.0127388535032,0.0,6,471,0,77,0.0,0,78
8326,Lis-1,0.00849256900212,0.0,4,471,0,73,0.0,0,78
8327,Lis-5,0.0,0.0,0,471,0,32,0.0,0,78
8329,Lm-2,0.123142250531,0.0,58,471,0,72,0.0,0,78
8334,Lu-1,0.0870488322718,0.0138888888889,41,471,1,72,0.0,0,78
8335,Lund,0.188959660297,0.0,89,471,0,32,0.589743589744,46,78
8337,Mir-0,0.324840764331,-1,153,471,0,0,0.987179487179,77,78
8343,Na-1,0.288747346072,0.0,136,471,0,3,0.961538461538,75,78
8348,Nw-0,0.779193205945,-1,367,471,0,0,0.987179487179,77,78
8351,Ost-0,0.337579617834,0.0,159,471,0,1,0.987179487179,77,78
8353,Pa-1,0.787685774947,0.0,371,471,0,70,0.102564102564,8,78
8354,Per-1,0.0,0.0,0,471,0,78,0.0,0,78
8355,Petergof,0.779193205945,0.0,367,471,0,1,0.987179487179,77,78
8356,Pi-0,0.352441613588,0.0,166,471,0,78,0.0,0,78
8357,Pla-0,0.271762208068,-1,128,471,0,0,1.0,78,78
8365,Rak-2,0.297239915074,-1,140,471,0,0,1.0,78,78
8369,Rev-1,0.496815286624,-1,234,471,0,0,1.0,78,78
8374,Rsch-4,0.0467091295117,0.0,22,471,0,72,0.0,0,78
8375,Rubezhnoe-1,0.726114649682,-1,342,471,0,0,0.987179487179,77,78
8376,Sanna-2,0.0828025477707,0.0,39,471,0,73,0.0,0,78
8377,Santa Clara,0.284501061571,0.0,134,471,0,1,0.987179487179,77,78
8378,Sap-0,0.52016985138,0.0,245,471,0,4,0.948717948718,74,78
8380,Sf-1,0.753715498938,0.0,355,471,0,1,0.987179487179,77,78
8386,Sr:5,0.248407643312,0.0,117,471,0,1,0.987179487179,77,78
8387,St-0,0.0509554140127,0.0,24,471,0,70,0.102564102564,8,78
8388,Stw-0,0.0276008492569,0.0,13,471,0,78,0.0,0,78
8389,Ta-0,0.0403397027601,0.0131578947368,19,471,1,76,0.025641025641,2,78
8395,Tu-0,0.295116772824,-1,139,471,0,0,1.0,78,78
8411,Rd-0,0.0764331210191,0.0,36,471,0,77,0.0,0,78
8419,Will,0.101910828025,0.0,48,471,0,73,0.0,0,78
